id;name;price;seller #1;price #1;bonus #1;bonus, % #1;seller #2;price #2;bonus #2;bonus, % #2;seller #3;price #3;bonus #3;bonus, % #3;seller #4;price #4;bonus #4;bonus, % #4;seller #5;price #5;bonus #5;bonus, % #5;seller #6;price #6;bonus #6;bonus, % #6;seller #7;price #7;bonus #7;bonus, % #7;seller #8;price #8;bonus #8;bonus, % #8;seller #9;price #9;bonus #9;bonus, % #9;seller #10;price #10;bonus #10;bonus, % #10
100022836629;Блинная сковорода Attribute AFO326 Коричневый;1099;Bezant;1099;164;15%;Bezant;1099;164;15%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100022841569;Сковорода Illa IL1226B Синий;698;Bezant;698;104;15%;Bezant;698;104;15%;MrDom;857;128;0,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100000016308;Кастрюля Pyrex Slow Cook 3.6л;5199;Bezant;5199;779;15%;Bezant;5199;779;15%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100023039519;Мультибокс Полимербыт Профи Kids 5 секций, 1 шт,;908;Bezant;908;227;25%;Bezant;908;227;25%;productorg;1081;270;0,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100022842162;Ведро для мусора Curver 02171-L11;1068;Bezant;1068;213;20%;Bezant;1068;213;20%;MrDom;1367;273;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100022836803;Набор столовых приборов ATTRIBUTE ACC624 24 предмета;2799;Bezant;2799;699;25%;Bezant;2799;699;25%;MrDom;3550;887;0,25;AUTSTOK;3320;830;0,25;;;;;;;;;;;;;;;;;;;;;;;;
100024475640;Столовый сервиз Luminarc (Люминарк) Minuet Black Neo N8126;5224;Bezant;5224;1306;25%;Bezant;5224;1306;25%;AUTSTOK;5230;1307;0,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100022836448;Сотейник ATTRIBUTE Buon appetito 24 см;1018;Bezant;1018;152;15%;Bezant;1018;152;15%;MrDom;1490;223;0,15;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100022842018;Этажерка DOMENIK Boudoir;768;Bezant;768;192;25%;Bezant;768;192;25%;Posuda.ru;859;214;0,25;MrDom;842;210;0,25;;;;;;;;;;;;;;;;;;;;;;;;
100000016309;Кастрюля Pyrex Slow Cook 3.8л;5299;Bezant;5299;794;15%;Bezant;5299;794;15%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
100023854386;Ершик для унитаза с подставкой Wenko Flora Белый;1088;Bezant;1088;217;20%;Bezant;1088;217;20%; hit-dekor;2094;418;0,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
